name=BMP380 Barometer vendor=Bosch current_time_ms=1562661887298
measured_at recorded_at accuracy value
185886894424809 185886895778551 3 1013.059
185886934425590 185886936247721 3 1012.9766
185886974452465 185886976559496 3 1012.9508
185887014454549 185887016924344 3 1012.9379
185887054452205 185887055737994 3 1012.98505
185887094456372 185887096244091 3 1013.09985
185887134449549 185887136263002 3 1013.0973
185887174429653 185887176360662 3 1013.0665
185887214426215 185887216063166 3 1013.07416
185887254427570 185887256630409 3 1013.07196
185887294426163 185887297049788 3 1013.0149
185887334425434 185887337046824 3 1013.0432
185887374425851 185887377647192 3 1013.0696
185887414427570 185887417806155 3 1013.10986
185887454426268 185887458122773 3 1013.10504
185887494448038 185887495896267 3 1013.11224
185887534450122 185887536164604 3 1013.0743
185887574427049 185887576282525 3 1013.0874
185887614455330 185887616272529 3 1013.1283
185887654449601 185887655797532 3 1013.08704
185887694449028 185887695848682 3 1013.0124
185887734439653 185887735864207 3 1013.01715
185887774426111 185887776006607 3 1012.9766
185887814425174 185887816680621 3 1013.08105
185887854465695 185887856443230 3 1013.07935
185887894470643 185887896644692 3 1013.0429
185887934474549 185887936023029 3 1012.974
185887974467309 185887975972044 3 1013.01434
185888014471215 185888016115641 3 1012.91956
185888054471736 185888055920749 3 1012.811
185888094462570 185888095747055 3 1012.8823
185888134434132 185888136488882 3 1012.9164
185888174427101 185888176050553 3 1012.9241
185888214423976 185888216594828 3 1012.94965
185888254426840 185888256829311 3 1012.8857
185888294450382 185888297773430 3 1012.90564
185888334453507 185888337674371 3 1012.9469
185888374424757 185888378887136 3 1012.98303
185888414464965 185888416397244 3 1012.9598
185888454468299 185888456435789 3 1012.96967
185888494467518 185888496589595 3 1012.96216
185888534427361 185888536349079 3 1012.99567
185888574427934 185888575846843 3 1012.9675
185888614428924 185888616862003 3 1012.97485
185888654428351 185888660611018 3 1012.9856
185888694446424 185888697783938 3 1012.96985
185888734455851 185888736913317 3 1013.0238
185888774425278 185888776026394 3 1013.006
185888814451893 185888816950148 3 1012.98267
185888854425070 185888856324683 3 1012.9677
