name=GpsLocations vendor=Google current_time_ms=1562661887306
recordedAtMs deviceDirectionDegrees deviceDirectionDegrees northDirectionRadians northDirectionDegrees
 185881037 271.1687658059161 271.1687658059161
 185881039 271.1687658059161 271.1687658059161
 185881067 271.0882856869258 271.0882856869258
 185881100 270.930405864261 270.930405864261
 185881133 270.8061920440151 270.8061920440151
 185881165 270.6566382219485 270.6566382219485
 185881196 270.5299518732231 270.5299518732231
 185881232 270.38418880614586 270.38418880614586
 185881264 270.3042960834242 270.3042960834242
 185881299 270.1679108660774 270.1679108660774
 185881332 270.04397025339836 270.04397025339836
 185881364 269.92660028270086 269.92660028270086
 185881397 269.82911299267727 269.82911299267727
 185881431 269.752929062675 269.752929062675
 185881463 269.58064437105054 269.58064437105054
 185881497 269.4858618359383 269.4858618359383
 185881528 269.3901230743422 269.3901230743422
 185881562 269.2727394432664 269.2727394432664
 185881595 269.089970411266 269.089970411266
 185881625 268.9166680214553 268.9166680214553
 185881663 268.64533192648736 268.64533192648736
 185881694 268.4734433858348 268.4734433858348
 185881725 268.2883042781924 268.2883042781924
 185881759 268.14920747574513 268.14920747574513
 185881794 267.9484408952818 267.9484408952818
 185881825 267.82763533943177 267.82763533943177
 185881861 267.7183864636574 267.7183864636574
 185881890 267.58082645377334 267.58082645377334
 185881927 267.4019984409241 267.4019984409241
 185881958 267.2578609588693 267.2578609588693
 185881990 267.1440290261619 267.1440290261619
 185882023 267.03872799972777 267.03872799972777
 185882057 266.9596207487607 266.9596207487607
 185882089 266.88737783790947 266.88737783790947
 185882122 266.8309399847976 266.8309399847976
 185882153 266.7455557899833 266.7455557899833
 185882189 266.70947190059815 266.70947190059815
 185882221 266.65261740594696 266.65261740594696
 185882255 266.60839193107114 266.60839193107114
 185882287 266.57514940038067 266.57514940038067
 185882320 266.50798132008276 266.50798132008276
 185882353 266.51536475457556 266.51536475457556
 185882386 266.5330959256609 266.5330959256609
 185882417 266.53639490703006 266.53639490703006
 185882453 266.5046208670111 266.5046208670111
 185882483 266.4673690152779 266.4673690152779
 185882516 266.42532920093646 266.42532920093646
 185882549 266.3812061788982 266.3812061788982
 185882582 266.3127540230363 266.3127540230363
 185882617 266.2871613042163 266.2871613042163
 185882648 266.3244063257603 266.3244063257603
 185882681 266.3339207792742 266.3339207792742
 185882715 266.31870994799255 266.31870994799255
 185882747 266.2909110780706 266.2909110780706
 185882779 266.2799964357769 266.2799964357769
 185882812 266.2257169224428 266.2257169224428
 185882846 266.21712454446697 266.21712454446697
 185882878 266.1564861250156 266.1564861250156
 185882912 266.0883959691797 266.0883959691797
 185882944 266.07240649633275 266.07240649633275
 185882977 266.02976562534434 266.02976562534434
 185883010 265.9673172057629 265.9673172057629
 185883044 265.9553780350937 265.9553780350937
 185883076 266.0492180041005 266.0492180041005
 185883109 266.1964085807143 266.1964085807143
 185883142 266.4021407087042 266.4021407087042
 185883175 266.5865558162946 266.5865558162946
 185883209 266.7797886981034 266.7797886981034
 185883242 266.99359410969237 266.99359410969237
 185883275 267.13037547801105 267.13037547801105
 185883308 267.2992245844829 267.2992245844829
 185883341 267.4085007810139 267.4085007810139
 185883374 267.6047321158684 267.6047321158684
 185883406 267.73565318187923 267.73565318187923
 185883439 267.961384103759 267.961384103759
 185883472 268.1561606083202 268.1561606083202
 185883506 268.53787256027556 268.53787256027556
 185883538 268.7872222763052 268.7872222763052
 185883571 269.12993384809977 269.12993384809977
 185883605 269.6860888314572 269.6860888314572
 185883638 270.1273873537317 270.1273873537317
 185883671 270.57724410303626 270.57724410303626
 185883703 271.0567438733387 271.0567438733387
 185883737 271.761858452305 271.761858452305
 185883770 272.3429299657546 272.3429299657546
 185883802 272.96318627447266 272.96318627447266
 185883835 273.52483956011196 273.52483956011196
 185883868 274.26657761340783 274.26657761340783
 185883902 274.82415327611267 274.82415327611267
 185883934 275.36185308833274 275.36185308833274
 185883967 275.9415380733809 275.9415380733809
 185884000 276.3936419549224 276.3936419549224
 185884034 276.76676152890184 276.76676152890184
 185884066 277.2143369950236 277.2143369950236
 185884099 277.4889993921173 277.4889993921173
 185884132 277.70442355853953 277.70442355853953
 185884166 277.89774523280755 277.89774523280755
 185884200 278.1685349126419 278.1685349126419
 185884233 278.3271182447913 278.3271182447913
 185884265 278.4375828942379 278.4375828942379
 185884299 278.50163640827424 278.50163640827424
 185884330 278.50896520125366 278.50896520125366
 185884363 278.48701980345044 278.48701980345044
 185884396 278.4268731576193 278.4268731576193
 185884429 278.25723857939283 278.25723857939283
 185884462 278.09618271876394 278.09618271876394
 185884495 277.9322240277378 277.9322240277378
 185884529 277.5536403024223 277.5536403024223
 185884562 277.2424773744041 277.2424773744041
 185884596 276.9084879541796 276.9084879541796
 185884629 276.54750562635525 276.54750562635525
 185884662 275.9709693585145 275.9709693585145
 185884695 275.49918770197417 275.49918770197417
 185884728 274.9696294752448 274.9696294752448
 185884761 274.18672587182124 274.18672587182124
 185884794 273.60557239610154 273.60557239610154
 185884827 272.99422948425035 272.99422948425035
 185884860 272.3510032493536 272.3510032493536
 185884893 271.4509004299618 271.4509004299618
 185884926 270.7884881936865 270.7884881936865
 185884959 270.07636584063175 270.07636584063175
 185884992 269.0591594279201 269.0591594279201
 185885025 268.32026273331894 268.32026273331894
