name=LIS2MDL Magnetometer vendor=STMicro current_time_ms=1561345925967
measured_at recorded_at accuracy value_x value_y value_z
181633346158457 181633401888838 0 -22.93149 -34.4848 -49.780598
181633356211061 181633401974880 0 -23.272007 -34.891983 -49.40611
181633366263040 181633402044984 0 -23.67575 -35.139545 -50.235275
181633376312155 181633402109723 0 -23.363644 -34.962246 -51.39552
181633386364394 181633402174515 0 -23.522642 -34.748936 -50.864227
181633396415488 181633402254619 0 -23.77569 -34.5336 -50.149807
181633406465697 181633478649991 0 -23.51744 -35.3322 -50.145844
181633416513613 181633478729783 0 -23.358614 -35.540337 -50.521957
181633426561634 181633478805096 0 -23.486792 -35.16944 -51.377434
181633436610644 181633478861346 0 -23.42773 -34.7768 -51.823257
181633446661530 181633478916085 0 -23.6451 -34.976788 -51.466873
181633456711634 181633478981867 0 -23.703815 -35.379765 -51.331398
181633466761165 181633479036033 0 -23.614796 -34.803707 -52.388096
181633476812519 181633479087908 0 -23.709188 -34.791344 -51.894608
181633486863769 181633506139109 0 -23.52247 -34.7541 -51.01941
181633496915228 181633506193796 0 -23.49337 -34.54487 -50.85437
181633506969134 181633511580828 0 -23.371256 -34.306694 -49.941364
181633517021269 181633529229684 0 -23.47154 -33.690414 -49.54554
181633527072832 181633529401611 0 -23.781754 -33.924522 -50.092285
181633537124290 181633580127710 0 -23.745386 -34.360516 -51.071037
181633547176686 181633580382710 0 -23.681814 -34.53047 -50.177753
181633557228353 181633580549220 0 -23.906107 -34.095562 -48.987923
181633567281790 181633580828491 0 -23.688221 -33.911064 -49.809864
181633577333457 181633581131356 0 -23.903177 -34.183353 -51.626003
181633587385124 181633590847555 0 -23.874939 -33.9483 -50.685062
181633597436478 181633644935633 0 -23.78227 -33.909027 -49.626736
181633607486894 181633644979956 0 -23.658949 -33.706997 -49.800003
181633617538717 181633645060946 0 -23.600407 -33.298862 -49.78029
181633627590697 181633645127716 0 -23.657915 -33.73798 -50.731094
181633637641322 181633645177456 0 -23.780891 -33.95034 -50.86819
181633647694863 181633656234697 0 -23.91079 -33.5278 -50.171856
181633657745644 181633659674280 0 -23.822632 -32.925926 -50.45264
181633667797624 181633669982823 0 -23.605434 -32.720768 -50.653854
181633677850801 181633680341834 0 -23.88083 -33.34439 -50.782722
181633687904030 181633689707825 0 -24.59582 -33.795074 -51.227543
181633697955905 181633699946524 0 -24.871386 -34.413532 -51.201225
181633708005905 181633709930379 0 -24.43682 -34.008377 -51.758835
181633718056842 181633719863297 0 -24.160736 -33.405415 -52.25069
181633728107832 181633730099339 0 -24.19087 -33.58366 -51.484642
181633738161269 181633740572205 0 -24.132843 -33.16003 -50.999386
181633748214447 181633750470800 0 -24.162289 -33.358936 -50.85407
181633758266165 181633760208040 0 -24.320597 -33.166286 -50.943493
181633768320019 181633770426531 0 -24.385202 -32.965347 -50.90569
181633778372624 181633784430543 0 -24.41568 -33.133266 -49.82928
181633788423978 181633790309345 0 -24.479252 -32.963306 -50.722565
181633798473457 181633800180440 0 -24.103228 -32.966293 -51.299892
181633808522884 181633810926483 0 -24.132498 -33.17036 -51.30975
181633818573874 181633820421796 0 -24.285263 -33.571297 -50.991154
181633828623978 181633830516120 0 -24.373423 -34.17317 -50.710373
181633838673613 181633840622996 0 -24.941364 -33.624172 -51.72663
181633848721738 181633850660601 0 -25.322245 -33.048256 -52.17804
181633858768665 181633860718363 0 -24.911749 -33.43043 -52.027122
181633868817988 181633870624718 0 -24.940502 -33.64999 -52.50254
181633878868197 181633880631646 0 -24.910887 -33.456253 -52.803032
181633888916738 181633890853835 0 -25.016888 -32.241222 -52.660038
181633898964915 181633900806336 0 -25.415432 -33.07204 -52.77083
181633909014186 181633911071962 0 -25.410059 -33.66046 -52.20762
181633919062936 181633920979306 0 -25.047367 -32.409145 -51.58364
181633929112415 181633931634985 0 -24.642935 -32.18224 -51.3752
181633939162572 181633941597277 0 -24.859615 -32.402893 -51.639534
181633949209030 181633951056132 0 -25.040958 -33.028545 -51.951515
181633959259238 181633961323425 0 -24.85355 -33.011967 -51.697056
