name=GpsLocations vendor=Google current_time_ms=1561345925983
isLocationAvailable size time latitude longitude speed bearingDegrees altitude accuracy verticalAccuracy
 true null null null null null null null null null
 true null 1561345928639 37.7582257 -122.3929309 0.0 0.0 -7.400000095367432 5.161 5.0
 true 1 1561345923866 37.7582365 -122.393061 0.0 0.0 -9.09999942779541 15.948 4.6000004
 true 1 1561345932000 37.7582357 -122.3930447 0.0 0.0 -9.09999942779541 13.31 4.6000004
 true 1 1561345933000 37.7582352 -122.3930254 0.0 0.0 -9.09999942779541 11.537 4.6000004
 true 1 1561345934000 37.7582327 -122.3929397 0.0 0.0 -6.13238525390625 6.882 24.0
 true 1 1561345935000 37.7582323 -122.3929192 0.0 0.0 -6.578277587890625 5.955 16.0
 true 1 1561345936000 37.7582325 -122.3929111 0.0 0.0 -6.976318359375 5.476 16.0
 true 1 1561345937000 37.7582326 -122.3929074 0.0 0.0 -7.125030517578125 5.193 16.0
 true 1 1561345938000 37.7582327 -122.3929055 0.0 0.0 -7.30877685546875 4.744 16.0
 true 1 1561345939000 37.7582332 -122.3929042 0.0 0.0 -7.38812255859375 4.482 16.0
 true 1 1561345940000 37.7582333 -122.3929033 0.0 0.0 -7.372467041015625 4.317 12.0
