name=AzimuthSensor vendor=Kyle current_time_ms=1561446802735
m_t m_x m_y m_z a_t a_x a_y a_z g_t g_x g_y g_z direction_degrees
282510056 0 NaN NaN NaN 0 NaN NaN NaN 0 NaN NaN NaN 0.0
282510089 282510075637920 -0.4014057 -0.46417418 -0.7895669 282510078384222 -0.12833203 0.15934086 0.97884697 282510075884222 0.8489311 -0.5111086 -0.13447653 124.3236906688407
282510123 282510105773702 -0.4016731 -0.46474686 -0.7890938 282510108726097 -0.12530175 0.1621672 0.9787753 282510106226097 0.8285221 -0.5350023 -0.16529869 124.28430779808639
282510156 282510145966879 -0.4019046 -0.46534264 -0.7886247 282510149181983 -0.121566944 0.16453311 0.9788515 282510146681983 0.79912525 -0.5713679 -0.18691574 124.30097345966124
282510188 282510176117868 -0.40230778 -0.4657029 -0.7882064 282510179523858 -0.11932571 0.16451088 0.979131 282510177023858 0.77756083 -0.60162824 -0.18287346 124.3933859191315
282510221 282510216305941 -0.40293717 -0.4659905 -0.7877148 282510209865785 -0.11400879 0.16523558 0.97964233 282510207365785 0.7706782 -0.6097533 -0.18508391 124.52680683437853
282510254 282510246444743 -0.40335846 -0.46624318 -0.7873495 282510250321670 -0.10581312 0.16708057 0.98024875 282510247821670 0.7778827 -0.5941863 -0.20455122 124.69482948796087
282510287 282510276585420 -0.40374258 -0.46686393 -0.78678465 282510280663545 -0.10192577 0.16988349 0.9801789 282510278163545 0.77991706 -0.58779883 -0.2149929 124.6850759778261
282510320 282510316767816 -0.40438855 -0.46738315 -0.78614426 282510311005420 -0.09840647 0.17290327 0.98001057 282510308505420 0.7721237 -0.59781635 -0.21550076 124.62626804907228
282510353 282510346907452 -0.4047562 -0.4677501 -0.7857368 282510341347347 -0.09387675 0.17572778 0.9799526 282510338847347 0.77297497 -0.5944798 -0.22159337 124.61363219910777
282510386 282510377052712 -0.40511262 -0.46824268 -0.7852595 282510381803181 -0.08881499 0.17801335 0.98001176 282510379303181 0.78373754 -0.57699883 -0.229843 124.66832835398122
282510419 282510407194847 -0.40543833 -0.46873245 -0.78479904 282510402031150 -0.08680084 0.17918034 0.9799796 282510399531150 0.78425837 -0.57695043 -0.22818175 124.69137341224086
282510452 282510447382087 -0.40595317 -0.46951315 -0.78406596 282510442486983 -0.08140081 0.18224259 0.9798783 282510439986983 0.7751659 -0.5877017 -0.23178534 124.72465009387713
