name=GpsLocations vendor=Google current_time_ms=1561445543546
recordedAtMs deviceDirectionDegrees deviceDirectionDegrees northDirectionRadians northDirectionDegrees
 281251020 0.0 0.0
 281251038 0.0 0.0
 281251053 119.11444199265537 119.11444199265537
 281251072 119.34972834918398 119.34972834918398
 281251086 119.48772549117496 119.48772549117496
 281251104 119.72847599903952 119.72847599903952
 281251119 120.0561338339034 120.0561338339034
 281251138 120.31953324905578 120.31953324905578
 281251152 120.48446865713322 120.48446865713322
 281251171 120.88168513850451 120.88168513850451
 281251185 121.06037654757034 121.06037654757034
 281251203 121.53976020465689 121.53976020465689
 281251218 121.80421146894145 121.80421146894145
 281251236 121.87327834182861 121.87327834182861
 281251251 121.91759260916365 121.91759260916365
 281251269 121.93506423306053 121.93506423306053
 281251284 121.87439849285249 121.87439849285249
 281251302 121.9498037812894 121.9498037812894
 281251317 121.97566287748708 121.97566287748708
 281251335 122.13430085114982 122.13430085114982
 281251350 122.2103481773687 122.2103481773687
 281251368 122.27776214447675 122.27776214447675
 281251383 122.23678100945665 122.23678100945665
 281251401 122.23918523604453 122.23918523604453
 281251416 122.19265798741839 122.19265798741839
 281251434 122.25137029352379 122.25137029352379
 281251449 122.2576404071819 122.2576404071819
 281251467 122.3821410953729 122.3821410953729
 281251482 122.46163083693352 122.46163083693352
 281251500 122.53090261549573 122.53090261549573
 281251515 122.56506722172418 122.56506722172418
 281251533 122.60220979043072 122.60220979043072
 281251548 122.5739191468885 122.5739191468885
 281251566 122.56815446722902 122.56815446722902
 281251581 122.53877099341963 122.53877099341963
 281251599 122.55624261731651 122.55624261731651
 281251614 122.55147514527584 122.55147514527584
 281251632 122.58038050584332 122.58038050584332
 281251647 122.55396133413376 122.55396133413376
 281251665 122.57943793973789 122.57943793973789
 281251680 122.57607748666624 122.57607748666624
 281251698 122.65457002060805 122.65457002060805
 281251713 122.68134436215445 122.68134436215445
 281251731 122.71994859134338 122.71994859134338
 281251746 122.69496375935944 122.69496375935944
 281251764 122.70548225068131 122.70548225068131
 281251779 122.69161696666617 122.69161696666617
 281251797 122.71410194941382 122.71410194941382
 281251812 122.7103043642353 122.7103043642353
 281251830 122.75915387717924 122.75915387717924
 281251845 122.7790024069073 122.7790024069073
 281251863 122.80618655980396 122.80618655980396
 281251878 122.80961531476731 122.80961531476731
 281251896 122.90577071790278 122.90577071790278
 281251911 122.9235292097448 122.9235292097448
 281251929 123.01087366885088 123.01087366885088
 281251944 123.02736174550733 123.02736174550733
 281251962 123.0983000902271 123.0983000902271
 281251977 123.1092420532774 123.1092420532774
 281251996 123.14072922535115 123.14072922535115
 281252010 123.13161775299841 123.13161775299841
 281252029 123.18202454907305 123.18202454907305
 281252043 123.19606741800663 123.19606741800663
 281252062 123.27733300875144 123.27733300875144
 281252076 123.32271278559699 123.32271278559699
 281252095 123.42442796271683 123.42442796271683
 281252109 123.57507461505065 123.57507461505065
 281252128 123.72017515377837 123.72017515377837
 281252142 123.88062995776033 123.88062995776033
 281252161 124.0212635527709 124.0212635527709
 281252175 124.0830357836245 124.0830357836245
 281252194 124.24750673883841 124.24750673883841
 281252208 124.33121753730609 124.33121753730609
 281252227 124.53087762712391 124.53087762712391
 281252241 124.71183665899423 124.71183665899423
 281252260 124.97702558370912 124.97702558370912
 281252274 125.09890347925881 125.09890347925881
 281252293 125.36049972447029 125.36049972447029
 281252307 125.48255520493842 125.48255520493842
 281252326 125.59840887364021 125.59840887364021
 281252340 125.6925015596463 125.6925015596463
 281252358 125.85072972195883 125.85072972195883
 281252373 125.95830520138651 125.95830520138651
 281252391 126.11295434457395 126.11295434457395
 281252406 126.19553133163936 126.19553133163936
 281252424 126.40523179953709 126.40523179953709
 281252439 126.54370705476992 126.54370705476992
 281252457 126.71338261413143 126.71338261413143
 281252472 126.75814767395167 126.75814767395167
 281252491 126.88748413607505 126.88748413607505
 281252505 126.91938111949901 126.91938111949901
 281252523 127.04788429854364 127.04788429854364
 281252538 127.17467993029572 127.17467993029572
 281252557 127.23628823660925 127.23628823660925
 281252571 127.33350914925518 127.33350914925518
 281252590 127.34677337662339 127.34677337662339
 281252604 127.20646763069294 127.20646763069294
 281252623 127.23887004811553 127.23887004811553
 281252637 127.09714362283773 127.09714362283773
 281252656 127.13816573899283 127.13816573899283
 281252670 127.27774748487121 127.27774748487121
 281252689 127.49915489700635 127.49915489700635
 281252703 127.61047332009923 127.61047332009923
 281252722 127.79163725764465 127.79163725764465
 281252736 127.81130820245426 127.81130820245426
 281252755 127.95371764664907 127.95371764664907
 281252769 128.0385349357623 128.0385349357623
 281252788 128.08227546720707 128.08227546720707
 281252802 128.2617045367033 128.2617045367033
 281252821 128.5213063666771 128.5213063666771
 281252835 128.66284154665811 128.66284154665811
 281252854 128.89456254443996 128.89456254443996
 281252868 128.97274088967993 128.97274088967993
 281252887 129.1358594674382 129.1358594674382
 281252901 129.29302212024015 129.29302212024015
 281252920 129.46567564207976 129.46567564207976
 281252934 129.57499964993497 129.57499964993497
 281252953 129.82819476246732 129.82819476246732
 281252967 129.93384412854914 129.93384412854914
 281252986 130.12749365189734 130.12749365189734
