name=AzimuthSensor vendor=Kyle current_time_ms=1561445543718
m_t m_x m_y m_z a_t a_x a_y a_z g_t g_x g_y g_z direction_degrees
281252424 0 -71.9053 -85.70706 -135.88348 0 0.50280774 2.4640284 9.404022 0 0.0052888137 -0.14487348 -0.40797222 126.40523179953709
281252457 0 -71.555595 -85.83581 -135.86548 0 0.49225202 2.451598 9.418507 0 0.0110429395 -0.16215329 -0.4583668 126.71338261413143
281252491 0 -71.28783 -85.95322 -135.80637 0 0.4743198 2.4422402 9.418751 0 0.013398345 -0.17545682 -0.49899617 126.88748413607505
281252523 0 -70.965836 -86.089584 -135.7858 0 0.4350204 2.4242673 9.418094 0 0.0109571135 -0.19240344 -0.53960013 127.04788429854364
281252557 0 -70.62033 -86.187454 -135.74371 0 0.40905598 2.4089956 9.411964 0 0.011782375 -0.20882861 -0.5819008 127.23628823660925
281252590 0 -70.13424 -86.34131 -135.77681 0 0.3798367 2.408544 9.399512 0 0.017331468 -0.22492087 -0.63867587 127.34677337662339
281252623 0 -69.73999 -86.45086 -135.83083 0 0.34028336 2.4253354 9.413534 0 0.014867732 -0.23214428 -0.6836109 127.23887004811553
281252656 0 -69.3106 -86.53152 -135.87833 0 0.2928796 2.4460402 9.466373 0 0.0029980605 -0.2389054 -0.73476976 127.13816573899283
281252689 0 -68.6384 -86.596596 -135.95848 0 0.26958203 2.4347713 9.502638 0 -0.008829586 -0.2457849 -0.8119201 127.49915489700635
281252722 0 -68.10388 -86.64514 -135.9934 0 0.25180084 2.4204009 9.508703 0 -0.006089754 -0.24635302 -0.866952 127.79163725764465
281252755 0 -67.512184 -86.663994 -136.04404 0 0.2128603 2.4071913 9.4852915 0 -0.0017410931 -0.24872223 -0.9174779 127.95371764664907
281252788 0 -66.892166 -86.66266 -136.09685 0 0.1787347 2.3919842 9.469235 0 -0.001668539 -0.25596073 -0.96586585 128.08227546720707
281252821 0 -66.00441 -86.613304 -136.17538 0 0.1482701 2.359565 9.458989 0 -0.0026438218 -0.26962537 -1.0258509 128.5213063666771
281252854 0 -65.32524 -86.54181 -136.24908 0 0.11629303 2.3221843 9.450778 0 0.0025878455 -0.2795588 -1.0678746 128.89456254443996
281252887 0 -64.6123 -86.44777 -136.31686 0 0.06629464 2.2906144 9.449818 0 0.010162369 -0.29348928 -1.1105531 129.1358594674382
281252920 0 -63.65598 -86.30679 -136.41495 0 0.038356863 2.2753992 9.460603 0 0.01218241 -0.307745 -1.1530347 129.46567564207976
281252953 0 -62.87261 -86.13468 -136.46655 0 0.009257945 2.2501035 9.493228 0 0.0013721082 -0.3124413 -1.2035439 129.82819476246732
281252986 0 -62.088837 -85.9042 -136.54126 0 -0.053340264 2.2086158 9.541008 0 -0.016228752 -0.3127 -1.2390745 130.12749365189734
281253019 0 -61.27909 -85.63314 -136.63185 0 -0.12827615 2.1620033 9.540545 0 -0.025755625 -0.3191705 -1.2706022 130.29208755051627
281253052 0 -60.20472 -85.17787 -136.75822 0 -0.16997704 2.1298313 9.544355 0 -0.024757352 -0.3224972 -1.2898111 130.55283685227067
281253085 0 -59.41971 -84.80894 -136.92195 0 -0.2144402 2.1080017 9.558305 0 -0.037535027 -0.3246766 -1.2996517 130.64468923622906
281253118 0 -58.640373 -84.39523 -137.04878 0 -0.2618562 2.0854266 9.576207 0 -0.05342711 -0.32617193 -1.3002859 130.71176169387854
281253151 0 -57.63934 -83.81651 -137.2557 0 -0.3137419 2.0515823 9.550235 0 -0.05947085 -0.32690614 -1.2958692 130.76449075427104
281253184 0 -56.91063 -83.37815 -137.44438 0 -0.32741964 2.043274 9.491662 0 -0.05993473 -0.329881 -1.2854948 130.71965739255904
281253217 0 -56.21903 -82.862076 -137.61728 0 -0.309753 2.045385 9.442306 0 -0.06324747 -0.3372587 -1.2576346 130.73286697841388
281253250 0 -55.5793 -82.37254 -137.77406 0 -0.2694694 2.054365 9.449322 0 -0.06543485 -0.3374036 -1.2268199 130.93143423796448
281253283 0 -54.763435 -81.69108 -137.94992 0 -0.21330403 2.0571082 9.50127 0 -0.07109787 -0.33124706 -1.1886964 131.35956415551925
281253316 0 -54.208935 -81.19184 -138.11642 0 -0.17880437 2.0551548 9.532337 0 -0.07888548 -0.32530993 -1.1466718 131.63607753387805
281253349 0 -53.688004 -80.70376 -138.31055 0 -0.15713355 2.0627935 9.55806 0 -0.08423282 -0.32268775 -1.0836037 131.7287495405368
281253382 0 -53.21726 -80.21384 -138.5029 0 -0.13483346 2.07789 9.577879 0 -0.08062025 -0.32290965 -1.0328621 131.7250612383849
